"","year","race","FORCE_USED","HAD_WEAPON"
"327",2014,"B",FALSE,FALSE
"328",2014,"B",TRUE,FALSE
"329",2014,"Q",FALSE,FALSE
"330",2014,"Q",FALSE,FALSE
"331",2014,"B",TRUE,TRUE
"332",2014,"B",TRUE,TRUE
"333",2014,"B",TRUE,TRUE
"334",2014,"P",FALSE,FALSE
"335",2014,"B",FALSE,FALSE
"336",2014,"Q",FALSE,FALSE
"337",2014,"I",FALSE,FALSE
"338",2014,"W",FALSE,FALSE
"339",2014,"Q",FALSE,FALSE
"340",2014,"B",FALSE,FALSE
"341",2014,"B",FALSE,FALSE
"342",2014,"Q",FALSE,FALSE
"343",2014,"Q",FALSE,FALSE
"344",2014,"B",TRUE,FALSE
"345",2014,"B",TRUE,FALSE
"346",2014,"P",FALSE,FALSE
"347",2014,"Q",FALSE,FALSE
"348",2014,"Q",FALSE,FALSE
"349",2014,"W",FALSE,FALSE
"350",2014,"B",FALSE,FALSE
"351",2014,"B",FALSE,FALSE
"352",2014,"W",FALSE,FALSE
"353",2014,"B",FALSE,TRUE
"354",2014,"Q",FALSE,FALSE
"355",2014,"Q",TRUE,FALSE
"356",2014,"Q",FALSE,FALSE
"357",2014,"B",FALSE,FALSE
"358",2014,"P",FALSE,FALSE
"359",2014,"B",FALSE,FALSE
"360",2014,"B",FALSE,FALSE
"361",2014,"B",FALSE,FALSE
"362",2014,"Q",FALSE,FALSE
"363",2014,"B",TRUE,FALSE
"364",2014,"B",FALSE,FALSE
"365",2014,"B",TRUE,FALSE
"366",2014,"Q",FALSE,FALSE
"367",2014,"B",FALSE,FALSE
"368",2014,"B",FALSE,FALSE
"369",2014,"B",TRUE,FALSE
"370",2014,"Q",FALSE,FALSE
"371",2014,"A",FALSE,FALSE
"372",2014,"A",FALSE,FALSE
"373",2014,"B",FALSE,FALSE
"374",2014,"Q",TRUE,FALSE
"375",2014,"P",TRUE,FALSE
"376",2014,"B",FALSE,FALSE
"377",2014,"B",FALSE,FALSE
"378",2014,"B",TRUE,FALSE
"379",2014,"P",FALSE,FALSE
"380",2014,"Q",TRUE,FALSE
"381",2014,"B",TRUE,FALSE
"382",2014,"B",FALSE,TRUE
"383",2014,"B",FALSE,FALSE
"384",2014,"B",FALSE,FALSE
"385",2014,"B",FALSE,FALSE
"386",2014,"B",FALSE,FALSE
"387",2014,"P",TRUE,TRUE
"388",2014,"Q",FALSE,FALSE
"389",2014,"B",TRUE,FALSE
"390",2014,"B",FALSE,FALSE
"391",2014,"Q",TRUE,FALSE
"392",2014,"B",FALSE,FALSE
"393",2014,"B",TRUE,FALSE
"394",2014,"B",TRUE,FALSE
"395",2014,"B",TRUE,FALSE
"396",2014,"W",FALSE,FALSE
"397",2014,"B",FALSE,FALSE
"398",2014,"B",FALSE,FALSE
"399",2014,"B",FALSE,FALSE
"400",2014,"B",FALSE,FALSE
"401",2014,"B",FALSE,FALSE
"402",2014,"B",FALSE,FALSE
"403",2014,"B",TRUE,FALSE
"404",2014,"P",FALSE,FALSE
"405",2014,"Q",TRUE,FALSE
"406",2014,"B",FALSE,FALSE
"407",2014,"B",TRUE,FALSE
"408",2014,"B",FALSE,FALSE
"409",2014,"Q",FALSE,FALSE
"410",2014,"B",FALSE,FALSE
"411",2014,"B",FALSE,FALSE
"412",2014,"Q",TRUE,FALSE
"413",2014,"A",FALSE,FALSE
"414",2014,"B",FALSE,FALSE
"415",2014,"B",FALSE,FALSE
"416",2014,"W",TRUE,FALSE
"417",2014,"W",TRUE,FALSE
"418",2014,"Q",TRUE,FALSE
"419",2014,"Q",TRUE,FALSE
"420",2014,"Q",FALSE,FALSE
"421",2014,"B",FALSE,FALSE
"422",2014,"W",TRUE,FALSE
"423",2014,"W",TRUE,FALSE
"424",2014,"B",FALSE,FALSE
"425",2014,"B",FALSE,FALSE
"426",2014,"B",FALSE,FALSE
"427",2014,"B",FALSE,FALSE
"428",2014,"B",TRUE,FALSE
"429",2014,"B",FALSE,FALSE
"430",2014,"P",FALSE,FALSE
"431",2014,"B",TRUE,FALSE
"432",2014,"Q",FALSE,FALSE
"433",2014,"B",TRUE,FALSE
"434",2014,"Z",TRUE,FALSE
"435",2014,"B",FALSE,FALSE
"436",2014,"B",TRUE,FALSE
"437",2014,"Q",FALSE,FALSE
"438",2014,"P",FALSE,FALSE
"439",2014,"Q",FALSE,FALSE
"440",2014,"P",FALSE,FALSE
"441",2014,"W",FALSE,FALSE
"442",2014,"Q",FALSE,FALSE
"443",2014,"B",TRUE,FALSE
"444",2014,"Q",TRUE,FALSE
"445",2014,"B",FALSE,FALSE
"446",2014,"Q",TRUE,FALSE
"447",2014,"B",FALSE,FALSE
"448",2014,"Q",FALSE,FALSE
"449",2014,"W",FALSE,FALSE
"450",2014,"W",TRUE,FALSE
"451",2014,"W",FALSE,FALSE
"452",2014,"Q",TRUE,FALSE
"453",2014,"B",FALSE,FALSE
"454",2014,"B",FALSE,FALSE
"455",2014,"P",FALSE,FALSE
"456",2014,"Q",FALSE,FALSE
"457",2014,"B",TRUE,FALSE
"458",2014,"B",FALSE,FALSE
"459",2014,"B",FALSE,FALSE
"460",2014,"A",FALSE,FALSE
"461",2014,"W",FALSE,FALSE
"462",2014,"B",FALSE,FALSE
"463",2014,"B",FALSE,FALSE
"464",2014,"B",FALSE,FALSE
"465",2014,"B",TRUE,FALSE
"466",2014,"B",FALSE,FALSE
"467",2014,"B",TRUE,FALSE
"468",2014,"B",FALSE,FALSE
"469",2014,"Q",FALSE,FALSE
"470",2014,"B",FALSE,FALSE
"471",2014,"P",FALSE,FALSE
"472",2014,"Q",FALSE,FALSE
"473",2014,"B",FALSE,FALSE
"474",2014,"B",TRUE,FALSE
"475",2014,"B",TRUE,FALSE
"476",2014,"B",TRUE,FALSE
"477",2014,"B",TRUE,FALSE
"478",2014,"B",TRUE,FALSE
"479",2014,"B",FALSE,FALSE
"480",2014,"Q",FALSE,FALSE
"481",2014,"Q",TRUE,FALSE
"482",2014,"B",FALSE,FALSE
"483",2014,"P",FALSE,FALSE
"484",2014,"B",FALSE,FALSE
"485",2014,"B",FALSE,FALSE
"486",2014,"B",FALSE,FALSE
"487",2014,"Q",FALSE,FALSE
"488",2014,"B",FALSE,FALSE
"489",2014,"Q",FALSE,FALSE
"490",2014,"B",FALSE,FALSE
"491",2014,"Q",FALSE,FALSE
"492",2014,"Q",FALSE,FALSE
"493",2014,"P",FALSE,FALSE
"494",2014,"Q",FALSE,FALSE
"495",2014,"Q",FALSE,FALSE
"496",2014,"W",FALSE,FALSE
"497",2014,"B",FALSE,FALSE
"498",2014,"Q",TRUE,FALSE
"499",2014,"B",TRUE,FALSE
"500",2014,"Q",FALSE,FALSE
"501",2014,"U",FALSE,FALSE
"502",2014,"A",TRUE,FALSE
"503",2014,"A",TRUE,FALSE
"504",2014,"B",FALSE,FALSE
"505",2014,"B",FALSE,FALSE
"506",2014,"B",FALSE,FALSE
"507",2014,"P",FALSE,FALSE
"508",2014,"W",TRUE,FALSE
"509",2014,"A",FALSE,FALSE
"510",2014,"B",FALSE,FALSE
"511",2014,"P",FALSE,FALSE
"512",2014,"Q",FALSE,FALSE
"513",2014,"P",TRUE,FALSE
"514",2014,"W",TRUE,FALSE
"515",2014,"B",FALSE,FALSE
"516",2014,"P",FALSE,FALSE
"517",2014,"Q",FALSE,FALSE
"518",2014,"Q",FALSE,FALSE
"519",2014,"W",TRUE,FALSE
"520",2014,"Q",TRUE,FALSE
"521",2014,"Q",FALSE,FALSE
"522",2014,"B",FALSE,FALSE
"523",2014,"B",FALSE,FALSE
"524",2014,"P",FALSE,FALSE
"525",2014,"Q",FALSE,FALSE
"526",2014,"Q",FALSE,FALSE
"527",2014,"Q",FALSE,FALSE
"528",2014,"B",TRUE,FALSE
"529",2014,"Q",FALSE,FALSE
"530",2014,"W",FALSE,FALSE
"531",2014,"B",FALSE,FALSE
"532",2014,"B",TRUE,FALSE
"533",2014,"B",TRUE,FALSE
"534",2014,"B",FALSE,FALSE
"535",2014,"B",FALSE,FALSE
"536",2014,"B",FALSE,FALSE
"537",2014,"B",FALSE,FALSE
"538",2014,"B",FALSE,FALSE
"539",2014,"B",FALSE,FALSE
"540",2014,"B",TRUE,FALSE
"541",2014,"B",FALSE,FALSE
"542",2014,"B",FALSE,FALSE
"543",2014,"Q",TRUE,FALSE
"544",2014,"B",FALSE,FALSE
"545",2014,"B",FALSE,FALSE
"546",2014,"B",TRUE,FALSE
"547",2014,"Q",FALSE,FALSE
"548",2014,"W",FALSE,FALSE
"549",2014,"Q",TRUE,FALSE
"550",2014,"B",FALSE,FALSE
"551",2014,"A",FALSE,FALSE
"552",2014,"A",FALSE,FALSE
"553",2014,"A",FALSE,FALSE
"554",2014,"B",FALSE,FALSE
"555",2014,"B",TRUE,FALSE
"556",2014,"B",FALSE,FALSE
"557",2014,"B",FALSE,FALSE
"558",2014,"P",TRUE,FALSE
"559",2014,"Z",FALSE,FALSE
"560",2014,"B",FALSE,FALSE
"561",2014,"Q",FALSE,FALSE
"562",2014,"B",FALSE,FALSE
"563",2014,"W",TRUE,TRUE
"564",2014,"B",FALSE,FALSE
"565",2014,"B",FALSE,FALSE
"566",2014,"B",FALSE,FALSE
"567",2014,"P",FALSE,FALSE
"568",2014,"B",FALSE,FALSE
"569",2014,"P",TRUE,FALSE
"570",2014,"B",FALSE,FALSE
"571",2014,"B",FALSE,FALSE
"572",2014,"B",FALSE,FALSE
"573",2014,"B",FALSE,FALSE
"574",2014,"Q",FALSE,FALSE
"575",2014,"B",FALSE,FALSE
"576",2014,"B",FALSE,FALSE
"577",2014,"P",TRUE,FALSE
"578",2014,"B",TRUE,FALSE
"579",2014,"B",FALSE,FALSE
"580",2014,"B",FALSE,TRUE
"581",2014,"Q",FALSE,TRUE
"582",2014,"W",TRUE,FALSE
"583",2014,"W",FALSE,FALSE
"584",2014,"B",TRUE,TRUE
"585",2014,"B",FALSE,FALSE
"586",2014,"B",FALSE,FALSE
"587",2014,"Q",FALSE,FALSE
